ltable_id,rtable_id,label,id_x,attributi_x,id_y,attributi_y
571,946,0,571,microsoft visio standard 2007 version upgrade microsoft 129.95,946,adobe cs3 design standard upgrade nan 413.99
26,946,0,26,adobe premiere pro cs3 upgrade adobe 299.0,946,adobe cs3 design standard upgrade nan 413.99
1174,946,0,1174,adobe indesign cs3 upgrade from pagemaker [ mac ] adobe 199.0,946,adobe cs3 design standard upgrade nan 413.99
588,946,0,588,adobe creative suite cs3 design standard [ mac ] adobe 1199.0,946,adobe cs3 design standard upgrade nan 413.99
139,946,0,139,adobe creative suite cs3 design premium upsell [ mac ] adobe 1599.0,946,adobe cs3 design standard upgrade nan 413.99
518,946,0,518,microsoft office 2004 standard upgrade ( mac ) microsoft 239.99,946,adobe cs3 design standard upgrade nan 413.99
572,946,0,572,adobe dreamweaver cs3 upgrade adobe 199.0,946,adobe cs3 design standard upgrade nan 413.99
592,946,0,592,adobe after effects cs3 upgrade adobe 299.0,946,adobe cs3 design standard upgrade nan 413.99
923,946,0,923,adobe illustrator cs3 upgrade [ mac ] adobe 199.0,946,adobe cs3 design standard upgrade nan 413.99
516,946,0,516,adobe creative suite cs3 design premium upgrade [ mac ] adobe 599.0,946,adobe cs3 design standard upgrade nan 413.99
1251,946,0,1251,adobe acrobat standard 8.0 adobe 449.99,946,adobe cs3 design standard upgrade nan 413.99
1262,946,0,1262,adobe flash pro cs3 upgrade [ mac ] adobe 199.0,946,adobe cs3 design standard upgrade nan 413.99
615,946,0,615,adobe creative suite cs3 design standard upgrade adobe 399.0,946,adobe cs3 design standard upgrade nan 413.99
361,946,0,361,adobe creative suite cs3 web standard upsell adobe 799.0,946,adobe cs3 design standard upgrade nan 413.99
506,946,0,506,corel wordperfect office 12 standard upgrade corel 149.99,946,adobe cs3 design standard upgrade nan 413.99
1322,946,0,1322,adobe creative suite cs3 design premium upsell adobe 1599.0,946,adobe cs3 design standard upgrade nan 413.99
298,946,0,298,state standards grade 6 topics entertainment 29.95,946,adobe cs3 design standard upgrade nan 413.99
1130,946,0,1130,adobe cs3 design premium macosx dvd adobe 599.0,946,adobe cs3 design standard upgrade nan 413.99
543,946,0,543,adobe photoshop cs3 upgrade [ mac ] adobe 199.0,946,adobe cs3 design standard upgrade nan 413.99
465,946,0,465,adobe creative suite cs3 web standard upgrade [ mac ] adobe 399.0,946,adobe cs3 design standard upgrade nan 413.99
608,946,0,608,adobe creative suite cs3 web premium upgrade [ mac ] adobe 499.0,946,adobe cs3 design standard upgrade nan 413.99
6,946,0,6,adobe after effects professional 6.5 upgrade from standard to professional adobe 499.99,946,adobe cs3 design standard upgrade nan 413.99
