ltable_id,rtable_id,label,id_x,attributi_x,id_y,attributi_y
2082,1496,0,2082,C N Red Imperial Red Ale Redwood Lodge American Amber / Red Ale 8.10 %,1496,Kinetic Infrared Imperial Red Ale Kinetic Brewing Company American Strong Ale 9.30 %
2433,1496,0,2433,Mountain Series : Love Rhino ( Imperial Red Ale ) Breckenridge Brewery American Amber / Red Ale 8.90 %,1496,Kinetic Infrared Imperial Red Ale Kinetic Brewing Company American Strong Ale 9.30 %
1587,1496,0,1587,Arthur 's Imperial Red Ale Otto 's Pub and Brewery American Amber / Red Ale 6.90 %,1496,Kinetic Infrared Imperial Red Ale Kinetic Brewing Company American Strong Ale 9.30 %
1458,1496,0,1458,Deranger Imperial Red Ale Laurelwood Public House & Brewery American Amber / Red Ale 8.60 %,1496,Kinetic Infrared Imperial Red Ale Kinetic Brewing Company American Strong Ale 9.30 %
3402,1496,0,3402,Red Shedman 's Imperial Amber Ale 57 Brew Pub & Bistro American Amber / Red Ale 7.60 %,1496,Kinetic Infrared Imperial Red Ale Kinetic Brewing Company American Strong Ale 9.30 %
2082,1638,0,2082,C N Red Imperial Red Ale Redwood Lodge American Amber / Red Ale 8.10 %,1638,Ballast Point Tongue Buckler Imperial Red Ale Ballast Point Brewing Company American Strong Ale 10 %
138,1638,0,138,Double Dread Imperial Red Ale Mad River Brewing Company American Amber / Red Ale 8.60 %,1638,Ballast Point Tongue Buckler Imperial Red Ale Ballast Point Brewing Company American Strong Ale 10 %
491,1638,0,491,West Sixth / Country Boy Country Western ( Volume 3 Imperial Red Ale ) West Sixth Brewing Company American Amber / Red Ale 13.00 %,1638,Ballast Point Tongue Buckler Imperial Red Ale Ballast Point Brewing Company American Strong Ale 10 %
2082,1103,0,2082,C N Red Imperial Red Ale Redwood Lodge American Amber / Red Ale 8.10 %,1103,Tumbledown Imp Imperial Red Ale Tumbledown Brewing LLC American Strong Ale 7.80 %
3325,1103,0,3325,Roundabout Imperial Red Ale Bonfire Brewing Co. . American Amber / Red Ale 8.80 %,1103,Tumbledown Imp Imperial Red Ale Tumbledown Brewing LLC American Strong Ale 7.80 %
2047,1103,0,2047,Merry Prankster Imperial Red Ale Rock Bottom Restaurant & Brewery American Amber / Red Ale 4.56 %,1103,Tumbledown Imp Imperial Red Ale Tumbledown Brewing LLC American Strong Ale 7.80 %
2433,1103,0,2433,Mountain Series : Love Rhino ( Imperial Red Ale ) Breckenridge Brewery American Amber / Red Ale 8.90 %,1103,Tumbledown Imp Imperial Red Ale Tumbledown Brewing LLC American Strong Ale 7.80 %
178,1103,0,178,6th Anniversary Ale ( Dirty Hippie Imperial Red Ale ) Kern River Brewing Company American Amber / Red Ale 8.00 %,1103,Tumbledown Imp Imperial Red Ale Tumbledown Brewing LLC American Strong Ale 7.80 %
2934,1103,0,2934,Ale Mania Imperial Red Ale Ale-Mania American Amber / Red Ale 9.50 %,1103,Tumbledown Imp Imperial Red Ale Tumbledown Brewing LLC American Strong Ale 7.80 %
982,2999,1,982,Sanibel Red Island Ale Point Ybel Brewing Company American Amber / Red Ale 5.60 %,2999,Point Ybel Sanibel Red Island Ale Point Ybel Brewing Company Irish Ale 5.60 %
3715,2562,0,3715,Kniksen India Red Ale 7 Fjell Bryggeri American Amber / Red Ale 6.80 %,2562,Boneyard Skunkape India Red Ale Boneyard Beer Company India Pale Ale &#40; IPA &#41; 6.50 %
3715,216,0,3715,Kniksen India Red Ale 7 Fjell Bryggeri American Amber / Red Ale 6.80 %,216,Good People Stepchild Belgian India Red Ale Good People Brewing Company India Pale Ale &#40; IPA &#41; 7.80 %
2979,216,0,2979,Street Cred India Rye Red Ale Roaring Fork Beer Company American Amber / Red Ale 7.20 %,216,Good People Stepchild Belgian India Red Ale Good People Brewing Company India Pale Ale &#40; IPA &#41; 7.80 %
3246,284,0,3246,Buffalo Trace Bourbon Barrel Aged Amber Ale Wolf Hills Brewing Company American Amber / Red Ale -,284,Ballast Point Calico Amber Ale - Rum Barrel Aged Ballast Point Brewing Company Amber Ale 5 %
1524,284,0,1524,Barrel Aged Red Ale BearWaters Brewing Co. . American Amber / Red Ale 6.70 %,284,Ballast Point Calico Amber Ale - Rum Barrel Aged Ballast Point Brewing Company Amber Ale 5 %
3246,1682,0,3246,Buffalo Trace Bourbon Barrel Aged Amber Ale Wolf Hills Brewing Company American Amber / Red Ale -,1682,Barley_s Barrel Aged Ulysses Imperial Red Ale Barley_s Brewing Company American Strong Ale 8.60 %
1524,1682,0,1524,Barrel Aged Red Ale BearWaters Brewing Co. . American Amber / Red Ale 6.70 %,1682,Barley_s Barrel Aged Ulysses Imperial Red Ale Barley_s Brewing Company American Strong Ale 8.60 %
3246,2019,0,3246,Buffalo Trace Bourbon Barrel Aged Amber Ale Wolf Hills Brewing Company American Amber / Red Ale -,2019,Barrel Trolley Amber Ale Genesee Brewing Company &#40; North American Breweries &#41; Amber Ale -
1931,810,1,1931,Poor Richard 's Ale Dry Dock Brewing Co. . American Amber / Red Ale 6.50 %,810,21st Amendment Poor Richards Ale 21st Amendment Brewery Traditional Ale 7 %
704,411,0,704,Redeemer Imperial Red Ale Boston Beer Works - Canal Street American Amber / Red Ale 8.20 %,411,Laurelwood Organic Deranger Imperial Red Ale Laurelwood Public House & Brewery American Strong Ale 8.60 %
2526,411,0,2526,Barrel Aged Imperial Red Ale Boone Valley Brewing American Amber / Red Ale 9.99 %,411,Laurelwood Organic Deranger Imperial Red Ale Laurelwood Public House & Brewery American Strong Ale 8.60 %
1880,872,0,1880,Big Axe Red Ale Big Axe Brewing Company American Amber / Red Ale 6.80 %,872,Big Spruce Ready Yer Knot ... Regatta Red Ale Big Spruce Brewing Amber Ale -
3325,2266,0,3325,Roundabout Imperial Red Ale Bonfire Brewing Co. . American Amber / Red Ale 8.80 %,2266,Anacapa Riptide Imperial Red Ale Anacapa Brewing Company American Strong Ale 8 %
3185,2266,0,3185,Sledgehammer Imperial Red Ale Cambridge Brewing Company American Amber / Red Ale 7.75 %,2266,Anacapa Riptide Imperial Red Ale Anacapa Brewing Company American Strong Ale 8 %
3325,1973,0,3325,Roundabout Imperial Red Ale Bonfire Brewing Co. . American Amber / Red Ale 8.80 %,1973,AleSmith YuleSmith &#40; Winter &#41; Imperial Red Ale AleSmith Brewing Company American Strong Ale 8.50 %
1794,1973,0,1794,Stupiphany Imperial Red Ale Rusty Truck Brewing Company / Roadhouse 101 American Amber / Red Ale 8.00 %,1973,AleSmith YuleSmith &#40; Winter &#41; Imperial Red Ale AleSmith Brewing Company American Strong Ale 8.50 %
3325,63,0,3325,Roundabout Imperial Red Ale Bonfire Brewing Co. . American Amber / Red Ale 8.80 %,63,Marble Imperial Red Ale Marble Brewery American Strong Ale 9 %
2047,63,0,2047,Merry Prankster Imperial Red Ale Rock Bottom Restaurant & Brewery American Amber / Red Ale 4.56 %,63,Marble Imperial Red Ale Marble Brewery American Strong Ale 9 %
3325,1119,0,3325,Roundabout Imperial Red Ale Bonfire Brewing Co. . American Amber / Red Ale 8.80 %,1119,Peter Bs Sum Of Hours Imperial Red Ale Peter Bs Brewpub American Strong Ale 9.50 %
44,1119,0,44,Red-oric - Beer Camp # 65 ( Best Of Beer Camp : Imperial Red Ale ) Sierra Nevada Brewing Co. . American Amber / Red Ale 8.00 %,1119,Peter Bs Sum Of Hours Imperial Red Ale Peter Bs Brewpub American Strong Ale 9.50 %
3478,1119,0,3478,Double Mongrel Imperial India Red Ale Aspetuck Brew Lab American Amber / Red Ale 9.00 %,1119,Peter Bs Sum Of Hours Imperial Red Ale Peter Bs Brewpub American Strong Ale 9.50 %
2718,2787,0,2718,Extra Special Red Ale Alpha Brewing Company American Amber / Red Ale 5.00 %,2787,Ecliptic Phobos Extra Red Ale Ecliptic Brewing Amber Ale 5.20 %
141,2672,0,141,Aorta Ale ( Double Red Ale ) Short 's Brewing Company American Amber / Red Ale 8.30 %,2672,Destihl Barrel Aged Deadhead Double Red Ale Destihl Brewery American Strong Ale -
3661,2672,0,3661,Double Red Hot Ale Midnight Sun Brewing Co. . American Amber / Red Ale 7.57 %,2672,Destihl Barrel Aged Deadhead Double Red Ale Destihl Brewery American Strong Ale -
141,2991,0,141,Aorta Ale ( Double Red Ale ) Short 's Brewing Company American Amber / Red Ale 8.30 %,2991,Wildcard Double Down Imperial Red Ale Wildcard Brewing Company American Strong Ale 7.50 %
1185,2991,0,1185,Dread Double Red Ale Bullfrog Brewery American Amber / Red Ale 7.80 %,2991,Wildcard Double Down Imperial Red Ale Wildcard Brewing Company American Strong Ale 7.50 %
492,2991,0,492,Double Dragon Imperial Red Ale Phillips Brewing Company American Amber / Red Ale 8.20 %,2991,Wildcard Double Down Imperial Red Ale Wildcard Brewing Company American Strong Ale 7.50 %
4138,823,0,4138,Three Sheets Barleywine ( Barrel Aged ) Ballast Point Brewing Company American Barleywine 9.00 %,823,&#40; 512 &#41; Cabernet Barrel Aged Three &#40; 512 &#41; Brewing Company Abbey Tripel 9.50 %
190,805,1,190,Peak Organic The Maple Collaboration Peak Organic Brewing Company American Amber / Red Ale 7.00 %,805,Peak Organic The Maple Collaboration Shipyard Brewing Company Amber Ale 6.70 %
2277,1255,0,2277,Bourbon Barrel Red Oak Ale Tornado Brewing Company American Amber / Red Ale -,1255,Ballast Point Tongue Buckler Imperial Red Ale - Bourbon Barrel Aged Ballast Point Brewing Company American Strong Ale 10 %
