ltable_id,rtable_id,label,id_x,attributi_x,id_y,attributi_y
1756,1418,0,1756,"web caching for database applications with oracle web cache jordan parker , jesse anton , zheng zeng , lawrence jacobs , tie zhong , xiang liu sigmod conference 2002",1418,"form-based proxy caching for database-backed web sites qiong luo , jeffrey f. naughton very large data bases 2001"
2464,1418,0,2464,"enabling dynamic content caching for database-driven web sites qiong luo , divyakant agrawal , wen-syan li , wang-pin hsiung , k. selçuk candan sigmod conference 2001",1418,"form-based proxy caching for database-backed web sites qiong luo , jeffrey f. naughton very large data bases 2001"
648,1418,0,648,"homer : a model-based case tool for data-intensive web sites paolo atzeni , paolo merialdo , marco pecorone , marco magnante , giansalvatore mecca sigmod conference 2000",1418,"form-based proxy caching for database-backed web sites qiong luo , jeffrey f. naughton very large data bases 2001"
2410,1418,0,2410,"a predicate-based caching scheme for client-server database architectures julie basu , arthur m. keller vldb j. 1996",1418,"form-based proxy caching for database-backed web sites qiong luo , jeffrey f. naughton very large data bases 2001"
27,1418,1,27,"form-based proxy caching for database-backed web sites jeffrey f. naughton , qiong luo vldb 2001",1418,"form-based proxy caching for database-backed web sites qiong luo , jeffrey f. naughton very large data bases 2001"
2058,1418,0,2058,"caching strategies for data-intensive web sites khaled yagoub , patrick valduriez , valérie issarny , daniela florescu vldb 2000",1418,"form-based proxy caching for database-backed web sites qiong luo , jeffrey f. naughton very large data bases 2001"
1756,723,0,1756,"web caching for database applications with oracle web cache jordan parker , jesse anton , zheng zeng , lawrence jacobs , tie zhong , xiang liu sigmod conference 2002",723,"middle-tier database caching for e-business qiong luo , sailesh krishnamurthy , c. mohan , hamid pirahesh , honguk woo , bruce g. lindsay , jeffrey f. naughton international conference on management of data 2002"
27,723,0,27,"form-based proxy caching for database-backed web sites jeffrey f. naughton , qiong luo vldb 2001",723,"middle-tier database caching for e-business qiong luo , sailesh krishnamurthy , c. mohan , hamid pirahesh , honguk woo , bruce g. lindsay , jeffrey f. naughton international conference on management of data 2002"
786,723,0,786,"dbcache : database caching for web application servers sailesh krishnamurthy , c. mohan , larry brown , hamid pirahesh , mehmet altinel , honguk woo , qiong luo , bruce g. lindsay sigmod conference 2002",723,"middle-tier database caching for e-business qiong luo , sailesh krishnamurthy , c. mohan , hamid pirahesh , honguk woo , bruce g. lindsay , jeffrey f. naughton international conference on management of data 2002"
2206,723,1,2206,"middle-tier database caching for e-business hamid pirahesh , c. mohan , jeffrey f. naughton , sailesh krishnamurthy , honguk woo , qiong luo , bruce g. lindsay sigmod conference 2002",723,"middle-tier database caching for e-business qiong luo , sailesh krishnamurthy , c. mohan , hamid pirahesh , honguk woo , bruce g. lindsay , jeffrey f. naughton international conference on management of data 2002"
