"attributi_x","attributi_y","label"
"Samsung Galaxy EK-GC110 16.3 Megapixel Compact Camera - Black (4.8"" Touchscreen LCD - 21x Optical Zoom - Optical IS - 4608 X 3456 Image - 1920 X 1080 Video - HDMI - HD Movie Mode) Price Comparison at Buy.net","SAMSUNG WB350F BROWN 16MP 21X 3"" SMART CAMERA EC-WB350FBPNCA","0"
"Canon PowerShot SX510 HS Black Digital Camera (12.1 Megapixel - 3"" LCD - 30x Optical Zoom - Optical IS - 4608 X 3456 Image - 1920 X 1080 Video - PictBridge - HD Movie Mode) Price Comparison at Buy.net","NIKON COOLPIX L610 BLACK 16MP 14X 3""LCD 32408","0"
"Panasonic Lumix DMC-GH4 - Price comparison & reviews - Digital Cameras - Australia","Canon Digital IXUS 800 IS - PowerShot and IXUS digital compact cameras - Canon Europe","0"
"Nikon D600 / 24-85mm Kit - Price comparison & reviews - Digital Cameras - Australia","Canon PowerShot G11 - PowerShot and IXUS digital compact cameras - Canon Europe","0"
"Canon EOS Rebel T3i Black SLR Digital Camera Kit W/ 18-55mm Lens (18 MP, 3x Opt, SD/SDHC/SDXC Card Slot) Price Comparison at Buy.net","FUJIFILM JX600 WHITE 14MP 5X 2.7""LCD CCD 600012670","0"
"Vivitar ITwist F124 14.1 Megapixel Compact Camera - Red (2.4"" LCD - Electronic IS - 4416 X 3312 Image - 1280 X 720 Video - PictBridge - HD Movie Mode) Price Comparison at Buy.net","HASSELBLAD STELLAR SLV,CARBON FIBER GRIP 3012600","0"
"Nikon Coolpix S6800 Digital Camera (Black) | UK Digital Cameras","Nikon COOLPIX Digital Camera, S6800 - Walmart.com","1"
"Samsung Galaxy White Digital Camera (16.3 MP, 21x Opt) Price Comparison at Buy.net","NIKON COOLPIX L610 BLACK 16MP 14X 3""LCD 32408","0"
"Nikon Coolpix L28 20.1 Megapixel Compact Camera - Silver (3"" LCD - 5x Optical Zoom - Electronic IS - 5152 X 3864 Image - 1280 X 720 Video - HD Movie Mode) Price Comparison at Buy.net","SONY DSCH400 BLACK 20.1MP 63X 3"" DSCH400B","0"
"Canon EOS 5D Mark III Black SLR Digital Camera Kit W/ 24-70 Mm Lens (22.3 MP, SD/SDHC/SDXC Card Slot) Price Comparison at Buy.net","FUJI FINEPIX S1 BLACK 16.4MP 50X WIDE ANGLE 3"" 600013365","0"
"Olympus VG-160 - Price comparison & reviews - Digital Cameras - Australia","Canon PowerShot A3000 IS - PowerShot and IXUS digital compact cameras - Canon Europe","0"
"Canon PowerShot D30 Blue Digital Camera (12.1 MP, 5x Opt, SD/SDHC/SDXC Card Slot) Price Comparison at Buy.net","SONY DSC-W830B BLACK 20.1MP 8X 2.7"" DSCW830B","0"
"Canon PowerShot 135 16 Megapixel Compact Camera - Red (2.7"" LCD - 8x Optical Zoom - Electronic IS - 4608 X 3456 Image - 1280 X 720 Video - PictBridge - HD Movie Mode) Price Comparison at Buy.net","LEICA D-LUX 6 GLOSSY BLACK/SILVER 18115","0"
"Canon PowerShot G16 Black Digital Camera (12.1 MP, 5x Opt, SD Card Slot) Price Comparison at Buy.net","NIKON COOLPIX S9600 BLACK 16MP 22X 3"" 32180","0"
"Nikon Coolpix S230 10 Megapixel Compact Camera - Jet Black (3"" Touchscreen LCD - 3x Optical Zoom - 3648 X 2736 Image - 640 X 480 Video - PictBridge) Price Comparison at Buy.net","FUJIFILM XQ1 SILVER 12MP 4X 3.0""LCD 600013160","0"
"Sony Cyber-shot DSC-HX30V - Price comparison & reviews - Digital Cameras - Australia","Canon PowerShot A510 - PowerShot and IXUS digital compact cameras - Canon Europe","0"
"Nikon D5200 / 18-55mm & 55-300mm Kit - Price comparison & reviews - Digital Cameras - Australia","Canon PowerShot SX1 IS - PowerShot and IXUS digital compact cameras - Canon Europe","0"
"Nikon D4 - Price comparison & reviews - Digital Cameras - Australia","Canon PowerShot A80 - PowerShot and IXUS digital compact cameras - Canon Europe","0"
"Samsung WB2200F Black Digital Camera (16.4 MP, 60x Opt, SDHC/SDXC Card Slot) Price Comparison at Buy.net","LEICA C 12.1MP 7X 3"" DARK RED DIGITAL CAMERA 18489","0"
"Nikon Coolpix S4300 - Price comparison & reviews - Digital Cameras - Australia","Canon PowerShot SX30 IS - PowerShot and IXUS digital compact cameras - Canon Europe","0"
"Pentax Optio WG-1 GPS - Price comparison & reviews - Digital Cameras - Australia","Canon Digital IXUS 800 IS - PowerShot and IXUS digital compact cameras - Canon Europe","0"
"Fujifilm X-Pro1 Black Mirrorless Digital Camera (16.3 MP, SD/SDHC/SDXC Card Slot) Price Comparison at Buy.net","NIKON COOLPIX S3600 BLACK 20MP 8X 2.7"" 32184","0"
