ltable_id,rtable_id,label,id_x,attributi_x,id_y,attributi_y
92,184,0,92,toulouse ' b peachtree rd. ' atlanta 404/351 -9533 french 92,184,` white house restaurant ' ' 3172 peachtree rd. ne ' atlanta 404-237-7601 diners 719
405,184,0,405,` luna si ' ' 1931 peachtree rd. ' atlanta 404/355 -5993 continental 405,184,` white house restaurant ' ' 3172 peachtree rd. ne ' atlanta 404-237-7601 diners 719
90,184,0,90,` dining room ritz-carlton buckhead ' ' 3434 peachtree rd. ' atlanta 404/237 -2700 international 90,184,` white house restaurant ' ' 3172 peachtree rd. ne ' atlanta 404-237-7601 diners 719
393,184,0,393,` dante \ 's down the hatch buckhead ' ' 3380 peachtree rd. ' atlanta 404/266 -1600 continental 393,184,` white house restaurant ' ' 3172 peachtree rd. ne ' atlanta 404-237-7601 diners 719
422,184,0,422,tomtom ' 3393 peachtree rd. ' atlanta 404/264 -1163 continental 422,184,` white house restaurant ' ' 3172 peachtree rd. ne ' atlanta 404-237-7601 diners 719
92,174,0,92,toulouse ' b peachtree rd. ' atlanta 404/351 -9533 french 92,174,` original pancake house ( at ) ' ' 4330 peachtree rd. ' atlanta 404-237-4116 american 708
405,174,0,405,` luna si ' ' 1931 peachtree rd. ' atlanta 404/355 -5993 continental 405,174,` original pancake house ( at ) ' ' 4330 peachtree rd. ' atlanta 404-237-4116 american 708
90,174,0,90,` dining room ritz-carlton buckhead ' ' 3434 peachtree rd. ' atlanta 404/237 -2700 international 90,174,` original pancake house ( at ) ' ' 4330 peachtree rd. ' atlanta 404-237-4116 american 708
422,174,0,422,tomtom ' 3393 peachtree rd. ' atlanta 404/264 -1163 continental 422,174,` original pancake house ( at ) ' ' 4330 peachtree rd. ' atlanta 404-237-4116 american 708
410,174,0,410,palisades ' 1829 peachtree rd. ' atlanta 404/350 -6755 continental 410,174,` original pancake house ( at ) ' ' 4330 peachtree rd. ' atlanta 404-237-4116 american 708
92,292,0,92,toulouse ' b peachtree rd. ' atlanta 404/351 -9533 french 92,292,abruzzi ' 2355 peachtree rd. ne ' atlanta 404-261-8186 italian 74
90,292,0,90,` dining room ritz-carlton buckhead ' ' 3434 peachtree rd. ' atlanta 404/237 -2700 international 90,292,abruzzi ' 2355 peachtree rd. ne ' atlanta 404-261-8186 italian 74
393,292,0,393,` dante \ 's down the hatch buckhead ' ' 3380 peachtree rd. ' atlanta 404/266 -1600 continental 393,292,abruzzi ' 2355 peachtree rd. ne ' atlanta 404-261-8186 italian 74
410,292,0,410,palisades ' 1829 peachtree rd. ' atlanta 404/350 -6755 continental 410,292,abruzzi ' 2355 peachtree rd. ne ' atlanta 404-261-8186 italian 74
92,307,0,92,toulouse ' b peachtree rd. ' atlanta 404/351 -9533 french 92,307,` ritz-carlton cafe ( buckhead ) ' ' 3434 peachtree rd. ne ' atlanta 404-237-2700 ` american ( new ) ' 89
405,307,0,405,` luna si ' ' 1931 peachtree rd. ' atlanta 404/355 -5993 continental 405,307,` ritz-carlton cafe ( buckhead ) ' ' 3434 peachtree rd. ne ' atlanta 404-237-2700 ` american ( new ) ' 89
90,307,0,90,` dining room ritz-carlton buckhead ' ' 3434 peachtree rd. ' atlanta 404/237 -2700 international 90,307,` ritz-carlton cafe ( buckhead ) ' ' 3434 peachtree rd. ne ' atlanta 404-237-2700 ` american ( new ) ' 89
393,307,0,393,` dante \ 's down the hatch buckhead ' ' 3380 peachtree rd. ' atlanta 404/266 -1600 continental 393,307,` ritz-carlton cafe ( buckhead ) ' ' 3434 peachtree rd. ne ' atlanta 404-237-2700 ` american ( new ) ' 89
422,307,0,422,tomtom ' 3393 peachtree rd. ' atlanta 404/264 -1163 continental 422,307,` ritz-carlton cafe ( buckhead ) ' ' 3434 peachtree rd. ne ' atlanta 404-237-2700 ` american ( new ) ' 89
89,307,1,89,` cafe ritz-carlton buckhead ' ' 3434 peachtree rd. ' atlanta 404/237 -2700 ` ext 6108 international ' 89,307,` ritz-carlton cafe ( buckhead ) ' ' 3434 peachtree rd. ne ' atlanta 404-237-2700 ` american ( new ) ' 89
410,307,0,410,palisades ' 1829 peachtree rd. ' atlanta 404/350 -6755 continental 410,307,` ritz-carlton cafe ( buckhead ) ' ' 3434 peachtree rd. ne ' atlanta 404-237-2700 ` american ( new ) ' 89
92,310,1,92,toulouse ' b peachtree rd. ' atlanta 404/351 -9533 french 92,310,toulouse ' 293-b peachtree rd. ' atlanta 404-351-9533 ` french ( new ) ' 92
405,310,0,405,` luna si ' ' 1931 peachtree rd. ' atlanta 404/355 -5993 continental 405,310,toulouse ' 293-b peachtree rd. ' atlanta 404-351-9533 ` french ( new ) ' 92
422,310,0,422,tomtom ' 3393 peachtree rd. ' atlanta 404/264 -1163 continental 422,310,toulouse ' 293-b peachtree rd. ' atlanta 404-351-9533 ` french ( new ) ' 92
89,310,0,89,` cafe ritz-carlton buckhead ' ' 3434 peachtree rd. ' atlanta 404/237 -2700 ` ext 6108 international ' 89,310,toulouse ' 293-b peachtree rd. ' atlanta 404-351-9533 ` french ( new ) ' 92
92,303,0,92,toulouse ' b peachtree rd. ' atlanta 404/351 -9533 french 92,303,` la grotta ' ' 2637 peachtree rd. ne ' atlanta 404-231-1368 italian 85
405,303,0,405,` luna si ' ' 1931 peachtree rd. ' atlanta 404/355 -5993 continental 405,303,` la grotta ' ' 2637 peachtree rd. ne ' atlanta 404-231-1368 italian 85
90,303,0,90,` dining room ritz-carlton buckhead ' ' 3434 peachtree rd. ' atlanta 404/237 -2700 international 90,303,` la grotta ' ' 2637 peachtree rd. ne ' atlanta 404-231-1368 italian 85
393,303,0,393,` dante \ 's down the hatch buckhead ' ' 3380 peachtree rd. ' atlanta 404/266 -1600 continental 393,303,` la grotta ' ' 2637 peachtree rd. ne ' atlanta 404-231-1368 italian 85
422,303,0,422,tomtom ' 3393 peachtree rd. ' atlanta 404/264 -1163 continental 422,303,` la grotta ' ' 2637 peachtree rd. ne ' atlanta 404-231-1368 italian 85
85,303,1,85,` la grotta ' ' 2637 peachtree rd. . peachtree house condominium ' atlanta 404/231 -1368 italian 85,303,` la grotta ' ' 2637 peachtree rd. ne ' atlanta 404-231-1368 italian 85
89,303,0,89,` cafe ritz-carlton buckhead ' ' 3434 peachtree rd. ' atlanta 404/237 -2700 ` ext 6108 international ' 89,303,` la grotta ' ' 2637 peachtree rd. ne ' atlanta 404-231-1368 italian 85
92,172,0,92,toulouse ' b peachtree rd. ' atlanta 404/351 -9533 french 92,172,nava ' 3060 peachtree rd. ' atlanta 404-240-1984 southwestern 706
90,172,0,90,` dining room ritz-carlton buckhead ' ' 3434 peachtree rd. ' atlanta 404/237 -2700 international 90,172,nava ' 3060 peachtree rd. ' atlanta 404-240-1984 southwestern 706
422,172,0,422,tomtom ' 3393 peachtree rd. ' atlanta 404/264 -1163 continental 422,172,nava ' 3060 peachtree rd. ' atlanta 404-240-1984 southwestern 706
89,172,0,89,` cafe ritz-carlton buckhead ' ' 3434 peachtree rd. ' atlanta 404/237 -2700 ` ext 6108 international ' 89,172,nava ' 3060 peachtree rd. ' atlanta 404-240-1984 southwestern 706
410,172,0,410,palisades ' 1829 peachtree rd. ' atlanta 404/350 -6755 continental 410,172,nava ' 3060 peachtree rd. ' atlanta 404-240-1984 southwestern 706
92,175,0,92,toulouse ' b peachtree rd. ' atlanta 404/351 -9533 french 92,175,` palm the ( atlanta ) ' ' 3391 peachtree rd. ne ' atlanta 404-814-1955 steakhouses 709
